chincholi.kale2701,AMRAVATI-CHANDUR BAZZAR-GP-chincholi kale
dahigaon.purna2701,AMRAVATI-CHANDUR BAZZAR-GP-dahigaon purna
deurawada2701,AMRAVATI-CHANDUR BAZZAR-GP-deurawada
dhanora2701,AMRAVATI-CHANDUR BAZZAR-GP-dhanora
ghatladki2701,AMRAVATI-CHANDUR BAZZAR-GP-ghatladki
gonvidpur2701,AMRAVATI-CHANDUR BAZZAR-GP-gonvidpur
haidalpur2701,AMRAVATI-CHANDUR BAZZAR-GP-haidalpur
hirurpurna2701,AMRAVATI-CHANDUR BAZZAR-GP-hirurpurna
jainpur2701,AMRAVATI-CHANDUR BAZZAR-GP-jainpur
jalnapur2701,AMRAVATI-CHANDUR BAZZAR-GP-jalnapur
jasapur2701,AMRAVATI-CHANDUR BAZZAR-GP-jasapur
javla2701,AMRAVATI-CHANDUR BAZZAR-GP-javla
kajali2701,AMRAVATI-CHANDUR BAZZAR-GP-kajali
kalhodi2701,AMRAVATI-CHANDUR BAZZAR-GP-kalhodi
karajgaon2701,AMRAVATI-CHANDUR BAZZAR-GP-karajgaon
karanja.bahi2701,AMRAVATI-CHANDUR BAZZAR-GP-karanja bahi
khrala2701,AMRAVATI-CHANDUR BAZZAR-GP-khrala
khrwadi2701,AMRAVATI-CHANDUR BAZZAR-GP-khrwadi
kondavardha2701,AMRAVATI-CHANDUR BAZZAR-GP-kondavardha
kuralpurna2701,AMRAVATI-CHANDUR BAZZAR-GP-kuralpurna
kurankhed2701,AMRAVATI-CHANDUR BAZZAR-GP-kurankhed
kurha2701,AMRAVATI-CHANDUR BAZZAR-GP-kurha
kushnapur2701,AMRAVATI-CHANDUR BAZZAR-GP-kushnapur
lakhanwadi2701,AMRAVATI-CHANDUR BAZZAR-GP-lakhanwadi
madhan2701,AMRAVATI-CHANDUR BAZZAR-GP-madhan
masoda2701,AMRAVATI-CHANDUR BAZZAR-GP-masoda
mizopur2701,AMRAVATI-CHANDUR BAZZAR-GP-mizopur
namori2701,AMRAVATI-CHANDUR BAZZAR-GP-namori
nimbhora2701,AMRAVATI-CHANDUR BAZZAR-GP-nimbhora
nimkhed2701,AMRAVATI-CHANDUR BAZZAR-GP-nimkhed
phubagaon2701,AMRAVATI-CHANDUR BAZZAR-GP-phubagaon
pimpari2701,AMRAVATI-CHANDUR BAZZAR-GP-pimpari
rajan2701,AMRAVATI-CHANDUR BAZZAR-GP-rajan
rajura2701,AMRAVATI-CHANDUR BAZZAR-GP-rajura
rasullapur2701,AMRAVATI-CHANDUR BAZZAR-GP-rasullapur
ratanpur2701,AMRAVATI-CHANDUR BAZZAR-GP-ratanpur
ravarpi2701,AMRAVATI-CHANDUR BAZZAR-GP-ravarpi
redwa2701,AMRAVATI-CHANDUR BAZZAR-GP-redwa
sapharpur2701,AMRAVATI-CHANDUR BAZZAR-GP-sapharpur
saphrbad2701,AMRAVATI-CHANDUR BAZZAR-GP-saphrbad
shirajgaon2701,AMRAVATI-CHANDUR BAZZAR-GP-shirajgaon
shirajgaonband2701,AMRAVATI-CHANDUR BAZZAR-GP-shirajgaonband
sonuri2701,AMRAVATI-CHANDUR BAZZAR-GP-sonuri
surali2701,AMRAVATI-CHANDUR BAZZAR-GP-surali
takarkheda2701,AMRAVATI-CHANDUR BAZZAR-GP-takarkheda
talegaonmo2701,AMRAVATI-CHANDUR BAZZAR-GP-talegaonmo
talni2701,AMRAVATI-CHANDUR BAZZAR-GP-talni
talvel2701,AMRAVATI-CHANDUR BAZZAR-GP-talvel
tondgaon2701,AMRAVATI-CHANDUR BAZZAR-GP-tondgaon
tulajapur.gadhi2701,AMRAVATI-CHANDUR BAZZAR-GP-tulajapur gadhi
